,year,model,config,mileage,drivetrain,transmission,ext_color,int_color,price,owners,ori_price,good_deal_margin,deal,hotornot,sellin,carfax,dealer,dealer_rating,dealer_review_number,dealer_zipcode,consumer_rating,consumer_review_number,vin
0,2016,Model X,90D,29211,AWD,Automatic,Red,Black,70888,1,,77836.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Marin Acura,4.9,878.0,94925.0,5.0,12,5YJXCBE28GF010833
1,2015,Model S,85D,28000,AWD,Automatic,Silver,Beige,48000,more than 1,,,not_rating,NOT HOT,,CARFAX Report,private_seller,,,,4.8,41,
2,2018,Model 3,Mid Range,2500,RWD,Automatic,White,Other,47004,more than 1,,,not_rating,HOT CAR,11.0,CARFAX Report,private_seller,,,94612.0,4.5,69,5YJ3E1EA4JF162481
3,2018,Model 3,,6548,RWD,Automatic,Silver,Black,47600,1,,52975.0,Good,HOT CAR,11.0,Free CARFAX 1-Owner Report,Carvana,4.4,319.0,76112.0,4.5,69,5YJ3E1EA4JF017635
4,2016,Model S,P90D,18968,AWD,Automatic,Black,Black,66200,more than 1,,70734.0,Good,HOT CAR,11.0,Free CARFAX Report,Carvana,4.4,319.0,8625.0,4.8,27,5YJSA1E40GF120206
5,2017,Model S,P100D,9800,AWD,Automatic,Red,Black,99432,more than 1,,,not_rating,NOT HOT,,CARFAX Report,private_seller,,,,4.7,25,
6,2018,Model X,100D,2400,Unknown,Automatic,White,White,99995,more than 1,,,not_rating,NOT HOT,,CARFAX Report,private_seller,,,,5.0,5,
7,2013,Model S,Performance,57311,RWD,Automatic,Black,Black,37495,1,,,not_rating,NOT HOT,,Free CARFAX 1-Owner Report,Superior Auto Exchange,2.8,4.0,45242.0,4.9,47,5YJSA1DP9DFP04143
8,2018,Model 3,Long Range,8137,RWD,Automatic,White,Black,51000,1,,54870.0,Good,NOT HOT,,Free CARFAX 1-Owner Report,Santa Maria BMW Volkswagen,2.2,15.0,93455.0,4.5,69,5YJ3E1EA8JF011269
9,2017,Model S,100D,19700,AWD,Automatic,Silver,Black,74993,1,76992.0,69638.0,Fair,NOT HOT,,Free CARFAX 1-Owner Report,Bozard Ford,4.8,6984.0,32084.0,4.7,25,5YJSA1E24HF216260
