,fleet,listedDate,listedDate,Date,price,exteriorColorName,mileage,msrpString,trimName,daysOnMarket,ownerCount,sellerRating,serviceProviderName,carYear,savingsRecommendation,vehicleIdentifier,sellerCity,dealScore,hasAccidents,priceDifferential,expectedPrice,modelName,wheelSystem,makeName
0,FALSE,1554156335000,1554156335,4/1/2019,48500,Unknown,28988,"$55,151",85D AWD,33,1,4.17,PricePro,2016,Great Deal,5YJSA1E26GF130284,"Maumee, OH",2.435697377,FALSE,13330,61830,Model S,AWD,Tesla
1,TRUE,1550225999000,1550225999,2/15/2019,31975,Gray,42274,,Performance RWD,79,2,3.61,World Class Automobiles,2013,Great Deal,5YJSA1DP8DFP21435,"South River, NJ",2.275686422,FALSE,8129,40104,Model S,RWD,Tesla
2,FALSE,1556698148000,1556698148,5/1/2019,48900,White,30900,,85D AWD,4,1,4.5,Luxury Motors of Bay Area,2016,Great Deal,5YJSA1E23GF123244,"Pleasanton, CA",2.152671272,TRUE,11781,60681,Model S,AWD,Tesla
3,FALSE,1538777877000,1538777877,10/5/2018,42995,White,33527,,90D AWD,211,3,3.98,Auto Expo,2015,Great Deal,5YJSA1E26FF118828,"Great Neck, NY",2.097007434,TRUE,8193,51188,Model S,AWD,Tesla
4,FALSE,1546545158000,1546545158,1/3/2019,33699,White,22456,,60 RWD,121,1,3.47,XDrive Motors,2013,Great Deal,5YJSA1AG5DFP12843,"West Bridgewater, MA",2.06400889,FALSE,4436,38135,Model S,RWD,Tesla
5,FALSE,1556316884000,1556316884,4/26/2019,31995,Gray,34970,,60 RWD,8,1,4.45,Highline Auto Sales,2013,Great Deal,5YJSA1CG3DFP22459,"Willowbrook, IL",2.003573743,FALSE,4736,36731,Model S,RWD,Tesla
6,FALSE,1557016442000,1557016442,5/4/2019,60500,Blue,39000,"$108,000",P90D AWD,0,2,,,2016,Great Deal,5YJSA1E42GF127898,"Round Rock, TX",1.987337259,FALSE,9431,69931,Model S,AWD,Tesla
7,FALSE,1528872346000,1528872346,6/13/2018,29888,Gray,59640,"$69,900",60 RWD,326,1,4.71,Chicago Auto Network,2013,Great Deal,5YJSA1AC6DFP10371,"Mokena, IL",1.896065846,FALSE,4075,33963,Model S,RWD,Tesla
8,FALSE,1556830065000,1556830065,5/2/2019,79999,Black,3902,,100D AWD,2,1,4.33,Jersey Motors,2018,Great Deal,5YJSA1E27JF264244,"Teterboro, NJ",1.868572889,FALSE,7013,87012,Model S,AWD,Tesla
9,TRUE,1555579366000,1555579366,4/18/2019,49863,Black,21360,"$49,863",75 RWD,17,1,4.17,Bill Brandt Ford,2017,Great Deal,5YJSA1E18HF202742,"Brentwood, CA",1.836817227,FALSE,4526,54389,Model S,RWD,Tesla
10,FALSE,1556316884000,1556316884,4/26/2019,39995,Black,42173,,75 RWD,8,1,4.45,Highline Auto Sales,2016,Great Deal,5YJSA1E18GF132822,"Willowbrook, IL",1.807489459,TRUE,5736,45731,Model S,RWD,Tesla
