carfax,config,consumer_rating,consumer_review_number,deal,dealer,dealer_rating,dealer_review_number,dealer_zipcode,drivetrain,ext_color,good_deal_margin,hotornot,int_color,mileage,model,ori_price,owners,price,sellin,transmission,vin,year
Free CARFAX 1-Owner Report,90D,5.0,12,Good,Marin Acura,4.9,878,94925,AWD,Red,"$77,836",NOT HOT,Black,29211,Model X,,1,70888,nan,Automatic,5YJXCBE28GF010833,2016
CARFAX Report,85D,4.8,41,,Richard (Private Seller),nan,nan,nan,AWD,Silver,,NOT HOT,Beige,28000,Model S,,more than 1,48000,nan,Automatic,,2015
CARFAX Report,Mid Range,4.5,69,,TRED Private Seller (East Bay),nan,nan,94612,RWD,White,,HOT CAR,Other,2500,Model 3,,more than 1,47004,11,Automatic,5YJ3E1EA4JF162481,2018
Free CARFAX 1-Owner Report,,4.5,69,Good,Carvana,4.4,319,76112,RWD,Silver,"$52,975",HOT CAR,Black,6548,Model 3,,1,47600,11,Automatic,5YJ3E1EA4JF017635,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,08625,AWD,Black,"$70,734",HOT CAR,Black,18968,Model S,,more than 1,66200,11,Automatic,5YJSA1E40GF120206,2016
CARFAX Report,P100D,4.7,25,,Ali (Private Seller),nan,nan,nan,AWD,Red,,NOT HOT,Black,9800,Model S,,more than 1,99432,nan,Automatic,,2017
CARFAX Report,100D,5.0,5,,Ryan (Private Seller),nan,nan,nan,Unknown,White,,NOT HOT,White,2400,Model X,,more than 1,99995,nan,Automatic,,2018
Free CARFAX 1-Owner Report,Performance,4.9,47,,Superior Auto Exchange,2.8,4,45242,RWD,Black,,NOT HOT,Black,57311,Model S,,1,37495,nan,Automatic,5YJSA1DP9DFP04143,2013
Free CARFAX 1-Owner Report,Long Range,4.5,69,Good,Santa Maria BMW Volkswagen,2.2,15,93455,RWD,White,"$54,870",NOT HOT,Black,8137,Model 3,,1,51000,nan,Automatic,5YJ3E1EA8JF011269,2018
Free CARFAX 1-Owner Report,100D,4.7,25,Fair,Bozard Ford,4.8,6984,32084,AWD,Silver,"$69,638",NOT HOT,Black,19700,Model S,76992,1,74993,nan,Automatic,5YJSA1E24HF216260,2017
Free CARFAX 1-Owner Report,,4.8,27,Good,Auto Boutique,4.4,47,43204,AWD,Silver,"$46,371",HOT CAR,Black,42227,Model S,,1,41995,8,Automatic,5YJSA1E27GF129032,2016
Free AutoCheck Report,Mid Range Battery RWD,4.5,69,Good,Arizona Car Sales,4.9,124,85203,RWD,Black,"$55,446",NOT HOT,Black,475,Model 3,,more than 1,49500,nan,Automatic,5YJ3E1EAXJF165952,2018
Free CARFAX 1-Owner Report,75,4.8,27,Good,iDeal Motors,5.0,28,92627,RWD,Silver,"$54,485",NOT HOT,Gray,45799,Model S,,1,52888,nan,Automatic,5YJSA1E15GF141896,2016
CARFAX Report,Base,4.9,33,Fair,South Bay Pre-Owned,3.8,24,90717,RWD,Gray,"$42,441",NOT HOT,Black,48334,Model S,,more than 1,47995,nan,Automatic,5YJSA1H10EFP33490,2014
Free CARFAX Report,P90D/75D/P100D,5.0,12,Fair,AUTOSOURCE,2.0,11,96814,AWD,Black,"$85,518",NOT HOT,White,20010,Model X,,more than 1,89995,nan,Automatic,5YJXCBE46GF012274,2016
Free CARFAX 1-Owner Report,75 4dr Liftback (midyear release),4.8,27,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,788,31216,RWD,Silver,"$68,904",NOT HOT,Black,25505,Model S,54990,1,53890,nan,Automatic,5YJSA1E13GF142268,2016
Free CARFAX 1-Owner Report,Performance,4.9,47,Good,Expo Motorcars,3.3,39,77036,RWD,White,"$54,743",NOT HOT,Black,14329,Model S,,1,49996,nan,Automatic,5YJSA1DP6DFP19618,2013
Free CARFAX 1-Owner Report,Signature,4.6,11,Good,Hyundai Nissan of Serramonte,1.0,105,94014,RWD,Blue,"$42,584",NOT HOT,Other,40546,Model S,,1,39592,nan,Automatic,5YJSA1CN0CFP02733,2012
Free CARFAX 1-Owner Report,Long Range 4dr Fastback,4.5,69,Good,Vroom (Online Dealer - Nationwide Delivery),3.8,788,06074,RWD,Black,"$53,939",NOT HOT,Black,9256,Model 3,,1,48910,nan,Automatic,5YJ3E1EA1JF003868,2018
Free CARFAX 1-Owner Report,AWD 75D 4dr SUV,5.0,12,Great,Vroom (Online Dealer - Nationwide Delivery),3.8,796,94107,AWD,Brown,"$88,995",NOT HOT,Beige,20904,Model X,70760,1,70050,nan,Automatic,5YJXCBE21GF009183,2016
Free CARFAX 1-Owner Report,Long Range,4.5,69,Good,Shift San Francisco,3.4,38,94114,RWD,Black,"$52,720",NOT HOT,Black,6169,Model 3,,1,46750,nan,Automatic,5YJ3E1EA0JF101368,2018
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,29403,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
Free CARFAX 1-Owner Report,85D,4.8,27,Good,Carvana,4.4,320,28269,AWD,Beige,"$52,285",NOT HOT,Beige,39625,Model S,46600,1,45700,nan,Automatic,5YJSA1E26GF122217,2016
Free CARFAX Report,P90D,4.8,27,Good,Carvana,4.4,319,43403,AWD,Black,"$70,264",NOT HOT,Black,18968,Model S,,more than 1,66200,nan,Automatic,5YJSA1E40GF120206,2016
