"","hotornot","year","config","drivetrain","mileage.x","ext_color","int_color","price.x","good_deal_margin","deal","dealer","dealer_rating","dealer_review_number","consumer_rating","consumer_review_number","fleet","hasAccidents","daysOnMarket","ownerCount"
"1","NOT HOT",2013,"Base","RWD",65473,"Brown","Beige",37480,34759,"Fair","The Motor Collection",5,5,4.9,47,"False","False",246,2
"2","NOT HOT",2013,"Base","RWD",50677,"Brown","Beige",30998,34930,"Good","Hanna Imports",4.9,1917,4.9,47,"False","False",137,1
"3","NOT HOT",2013,"Base","RWD",41152,"Green","Beige",34900,41003,"Great","Classic Cars Of Palm Beach LLC",5,111,4.9,47,"True","True",106,1
"4","NOT HOT",2013,"Base","RWD",71885,"Black","Beige",33880,38985,"Great","Auto Quest",4.6,57,4.9,47,"False","False",94,2
"5","NOT HOT",2013,"Base","RWD",62454,"Black","Black",34995,35105,"Good","California Car Company",3.3,13,4.9,47,"False","False",144,3
"6","NOT HOT",2013,"Base","RWD",49077,"White","Black",32950,34974,"Good","Zone Motors",3.6,34,4.9,47,"False","False",156,1
"7","NOT HOT",2013,"Base","RWD",41355,"Brown","Beige",36900,51836.0835579515,"not_rating","Temecula Hyundai",4.8,871,4.9,47,"True","False",346,1
"8","NOT HOT",2013,"Base","RWD",35231,"White","Black",36815,39019,"Good","Indy Auto Imports",4.8,207,4.9,47,"False","False",95,1
"9","NOT HOT",2013,"Base","RWD",39257,"White","Beige",35498,41383,"Great","Audi Peoria",4.6,230,4.9,47,"False","False",75,1
"10","NOT HOT",2013,"Base","RWD",63794,"Black","Other",29990,32280,"Good","Auto Hub",4.2,32,4.9,47,"True","False",31,2
"11","NOT HOT",2013,"","RWD",52815,"Green","Black",33884,36794,"Good","Earth Motorcars",4.6,307,4.9,47,"False","True",41,2
"12","NOT HOT",2013,"Base","RWD",46466,"Brown","Beige",31990,34996,"Good","NextGear Motors",4.4,7,4.9,47,"False","False",116,2
"13","NOT HOT",2013,"Base","RWD",22456,"White","Gray",33699,38871,"Great","DriveMaxGroup.com",4.1,63,4.9,47,"False","False",121,1
"14","NOT HOT",2013,"Base","RWD",48500,"Black","Other",34800,34996,"Good","Ultimo Motors West",4.7,393,4.9,47,"False","True",269,1
"15","NOT HOT",2013,"Base","RWD",84614,"White","Beige",29999,29104,"Fair","Las Vegas Auto Sport",3.4,10,4.9,47,"False","False",60,2
